country_1,country_2,exports($),exports rank,top product exported,imports($),imports rank,top product imported,top product export($),top product import($),1_gdp,2_gdp,1_gdpgrowth,2_gdpgrowth
India,Germany,-0.34401506736385906,Rnk 5 / 218,11,-0.276376593358781,Rnk 23 / 220,31,-0.42623476528570603,-0.1684863297663405,2,3,0,0
India,France,-0.4309202582067471,Rnk 17 / 218,40,-0.42620606153366586,Rnk 19 / 217,31,-0.42344980247931036,-0.33017839963728984,2,2,0,0
India,Italy,-0.4264110266064086,Rnk 14 / 218,13,-0.4524415908447264,Rnk 30 / 213,50,-0.44463973687579944,-0.4534534062907805,2,1,0,0
India,Canada,-0.457565717663293,Rnk 29 / 218,25,-0.46904376173688195,Rnk 10 / 217,9,-0.43313662963199107,-0.40263589861705357,2,1,0,0
India,South Korea,-0.4294855026975485,Rnk 15 / 218,38,-0.276376593358781,Rnk 7 / 218,14,-0.3643601568479579,-0.34233569812382736,2,1,0,0
India,Russia,-0.4655593555002568,Rnk 30 / 218,25,-0.4028400432410026,Rnk 15 / 187,3,-0.4199383276364636,-0.35412827765576876,2,1,0,0
India,Brazil,-0.43973375633468154,Rnk 21 / 218,7,-0.46268984448185946,Rnk 14 / 223,27,-0.3985062225611575,-0.3180211011507523,2,1,0,0
India,Australia,-0.4477273941716453,Rnk 23 / 218,40,-0.29277379917819385,Rnk 5 / 211,3,-0.3631493034538728,0.6424054792857136,2,1,0,0
India,Spain,-0.456335927226837,Rnk 28 / 218,45,-0.4956892211934278,Rnk 37 / 218,20,-0.4557795881013823,-0.45272396838158824,2,1,0,0
India,Indonesia,-0.4311252232794898,Rnk 18 / 218,45,-0.2989227513604737,Rnk 5 / 213,3,-0.3802223363104726,-0.004362800198083697,2,1,0,0
